index,top5_indices,top5_tanimoto
132,"[np.int64(93), np.int64(51), np.int64(11), np.int64(108), np.int64(13)]","[0.8163265306122449, 0.6981132075471698, 0.603448275862069, 0.5932203389830508, 0.5357142857142857]"
133,"[np.int64(784), np.int64(134), np.int64(1056), np.int64(786), np.int64(665)]","[0.9736842105263158, 0.7727272727272727, 0.7555555555555555, 0.5957446808510638, 0.5833333333333334]"
134,"[np.int64(1056), np.int64(133), np.int64(784), np.int64(786), np.int64(665)]","[0.9761904761904762, 0.7727272727272727, 0.7555555555555555, 0.5490196078431373, 0.5384615384615384]"
135,"[np.int64(805), np.int64(49), np.int64(98), np.int64(670), np.int64(736)]","[0.9795918367346939, 0.3898305084745763, 0.3898305084745763, 0.38333333333333336, 0.38333333333333336]"
136,"[np.int64(79), np.int64(129), np.int64(66), np.int64(13), np.int64(108)]","[0.9761904761904762, 0.7142857142857143, 0.6904761904761905, 0.6808510638297872, 0.6730769230769231]"
137,"[np.int64(100), np.int64(830), np.int64(121), np.int64(64), np.int64(538)]","[0.9767441860465116, 0.5740740740740741, 0.5555555555555556, 0.5555555555555556, 0.47058823529411764]"
138,"[np.int64(143), np.int64(1), np.int64(5), np.int64(92), np.int64(96)]","[0.9714285714285714, 0.7027027027027027, 0.6842105263157895, 0.55, 0.5365853658536586]"
139,"[np.int64(84), np.int64(843), np.int64(1406), np.int64(1233), np.int64(1264)]","[1.0, 0.9047619047619048, 0.7555555555555555, 0.6976744186046512, 0.6956521739130435]"
140,"[np.int64(943), np.int64(1112), np.int64(320), np.int64(772), np.int64(625)]","[0.20754716981132076, 0.20408163265306123, 0.1896551724137931, 0.17307692307692307, 0.1724137931034483]"
141,"[np.int64(25), np.int64(250), np.int64(1167), np.int64(983), np.int64(365)]","[0.8918918918918919, 0.23333333333333334, 0.2087912087912088, 0.20754716981132076, 0.2028985507246377]"
142,"[np.int64(1286), np.int64(1397), np.int64(1246), np.int64(139), np.int64(84)]","[0.9767441860465116, 0.6538461538461539, 0.6346153846153846, 0.62, 0.62]"
143,"[np.int64(138), np.int64(5), np.int64(1), np.int64(96), np.int64(92)]","[0.9714285714285714, 0.7105263157894737, 0.6842105263157895, 0.5609756097560976, 0.5365853658536586]"
144,"[np.int64(150), np.int64(76), np.int64(95), np.int64(795), np.int64(93)]","[0.8163265306122449, 0.43333333333333335, 0.4262295081967213, 0.36, 0.3333333333333333]"
145,"[np.int64(50), np.int64(18), np.int64(124), np.int64(631), np.int64(754)]","[0.5166666666666667, 0.43478260869565216, 0.3125, 0.3090909090909091, 0.3076923076923077]"
146,"[np.int64(387), np.int64(731), np.int64(73), np.int64(627), np.int64(1318)]","[0.6031746031746031, 0.5507246376811594, 0.36764705882352944, 0.35135135135135137, 0.30303030303030304]"
147,"[np.int64(149), np.int64(68), np.int64(954), np.int64(1046), np.int64(547)]","[0.7567567567567568, 0.3333333333333333, 0.32558139534883723, 0.3181818181818182, 0.25862068965517243]"
148,"[np.int64(130), np.int64(757), np.int64(686), np.int64(700), np.int64(1085)]","[0.9767441860465116, 0.32142857142857145, 0.30357142857142855, 0.23809523809523808, 0.23809523809523808]"
149,"[np.int64(147), np.int64(1072), np.int64(547), np.int64(997), np.int64(639)]","[0.7567567567567568, 0.3508771929824561, 0.30158730158730157, 0.2982456140350877, 0.29310344827586204]"
150,"[np.int64(144), np.int64(997), np.int64(76), np.int64(95), np.int64(550)]","[0.8163265306122449, 0.4576271186440678, 0.37681159420289856, 0.37142857142857144, 0.352112676056338]"
151,"[np.int64(1123), np.int64(92), np.int64(96), np.int64(1), np.int64(5)]","[0.972972972972973, 0.5238095238095238, 0.5116279069767442, 0.5116279069767442, 0.5]"
152,"[np.int64(151), np.int64(1123), np.int64(132), np.int64(93), np.int64(795)]","[0.4406779661016949, 0.43333333333333335, 0.38028169014084506, 0.36923076923076925, 0.3508771929824561]"
153,"[np.int64(1292), np.int64(1233), np.int64(1386), np.int64(142), np.int64(1286)]","[0.972972972972973, 0.6363636363636364, 0.6222222222222222, 0.5686274509803921, 0.5490196078431373]"
