index,top5_indices,top5_tanimoto
154,"[np.int64(203), np.int64(437), np.int64(1019), np.int64(1025), np.int64(205)]","[0.6086956521739131, 0.5172413793103449, 0.47058823529411764, 0.40540540540540543, 0.391304347826087]"
155,"[np.int64(997), np.int64(569), np.int64(266), np.int64(700), np.int64(211)]","[0.2753623188405797, 0.26865671641791045, 0.265625, 0.2647058823529412, 0.2631578947368421]"
156,"[np.int64(727), np.int64(787), np.int64(682), np.int64(287), np.int64(622)]","[0.9666666666666667, 0.37254901960784315, 0.36538461538461536, 0.3333333333333333, 0.3191489361702128]"
157,"[np.int64(957), np.int64(208), np.int64(1263), np.int64(542), np.int64(986)]","[0.53125, 0.4642857142857143, 0.41935483870967744, 0.3939393939393939, 0.37142857142857144]"
158,"[np.int64(375), np.int64(504), np.int64(324), np.int64(591), np.int64(981)]","[0.6511627906976745, 0.5652173913043478, 0.5454545454545454, 0.5094339622641509, 0.44642857142857145]"
159,"[np.int64(419), np.int64(1187), np.int64(1329), np.int64(1297), np.int64(1288)]","[0.2903225806451613, 0.25862068965517243, 0.2553191489361702, 0.25, 0.22580645161290322]"
160,"[np.int64(865), np.int64(931), np.int64(579), np.int64(308), np.int64(1347)]","[0.9629629629629629, 0.4, 0.3870967741935484, 0.37254901960784315, 0.3611111111111111]"
161,"[np.int64(417), np.int64(353), np.int64(679), np.int64(393), np.int64(409)]","[0.8181818181818182, 0.5675675675675675, 0.38, 0.3333333333333333, 0.2926829268292683]"
162,"[np.int64(963), np.int64(908), np.int64(1050), np.int64(956), np.int64(578)]","[0.44, 0.2777777777777778, 0.23809523809523808, 0.21875, 0.1951219512195122]"
163,"[np.int64(224), np.int64(50), np.int64(1053), np.int64(668), np.int64(670)]","[0.9791666666666666, 0.4444444444444444, 0.3387096774193548, 0.3333333333333333, 0.31746031746031744]"
164,"[np.int64(299), np.int64(275), np.int64(443), np.int64(205), np.int64(346)]","[0.5909090909090909, 0.3333333333333333, 0.3181818181818182, 0.3181818181818182, 0.2857142857142857]"
165,"[np.int64(649), np.int64(160), np.int64(289), np.int64(865), np.int64(931)]","[0.9523809523809523, 0.3333333333333333, 0.3103448275862069, 0.3055555555555556, 0.2857142857142857]"
166,"[np.int64(523), np.int64(641), np.int64(711), np.int64(441), np.int64(537)]","[0.9705882352941176, 0.3333333333333333, 0.3111111111111111, 0.3, 0.2857142857142857]"
167,"[np.int64(235), np.int64(460), np.int64(587), np.int64(664), np.int64(514)]","[0.9615384615384616, 0.7058823529411765, 0.5238095238095238, 0.5106382978723404, 0.49019607843137253]"
168,"[np.int64(850), np.int64(466), np.int64(369), np.int64(326), np.int64(498)]","[0.6071428571428571, 0.36764705882352944, 0.3088235294117647, 0.2857142857142857, 0.273972602739726]"
169,"[np.int64(1205), np.int64(387), np.int64(1318), np.int64(569), np.int64(1342)]","[0.34065934065934067, 0.23232323232323232, 0.22950819672131148, 0.2222222222222222, 0.2222222222222222]"
170,"[np.int64(489), np.int64(465), np.int64(477), np.int64(801), np.int64(647)]","[0.8292682926829268, 0.41379310344827586, 0.3968253968253968, 0.39344262295081966, 0.3870967741935484]"
171,"[np.int64(370), np.int64(698), np.int64(468), np.int64(549), np.int64(815)]","[0.84, 0.8181818181818182, 0.6727272727272727, 0.5873015873015873, 0.4603174603174603]"
172,"[np.int64(363), np.int64(328), np.int64(470), np.int64(571), np.int64(494)]","[0.6774193548387096, 0.5161290322580645, 0.42105263157894735, 0.35135135135135137, 0.35135135135135137]"
173,"[np.int64(620), np.int64(1192), np.int64(391), np.int64(586), np.int64(208)]","[0.6363636363636364, 0.5111111111111111, 0.46511627906976744, 0.3877551020408163, 0.34210526315789475]"
174,"[np.int64(357), np.int64(796), np.int64(519), np.int64(641), np.int64(1030)]","[0.9743589743589743, 0.6666666666666666, 0.6428571428571429, 0.3829787234042553, 0.3793103448275862]"
175,"[np.int64(713), np.int64(886), np.int64(189), np.int64(1027), np.int64(687)]","[0.9743589743589743, 0.3392857142857143, 0.3220338983050847, 0.32142857142857145, 0.31746031746031744]"
176,"[np.int64(469), np.int64(1127), np.int64(343), np.int64(416), np.int64(91)]","[0.3269230769230769, 0.30434782608695654, 0.3023255813953488, 0.3023255813953488, 0.2692307692307692]"
177,"[np.int64(512), np.int64(711), np.int64(641), np.int64(612), np.int64(441)]","[0.8378378378378378, 0.55, 0.5365853658536586, 0.425531914893617, 0.4166666666666667]"
178,"[np.int64(726), np.int64(788), np.int64(936), np.int64(318), np.int64(824)]","[0.4222222222222222, 0.29411764705882354, 0.2765957446808511, 0.2413793103448276, 0.23728813559322035]"
179,"[np.int64(384), np.int64(219), np.int64(808), np.int64(102), np.int64(892)]","[0.525, 0.52, 0.39325842696629215, 0.3194444444444444, 0.2903225806451613]"
180,"[np.int64(1142), np.int64(990), np.int64(198), np.int64(365), np.int64(380)]","[0.2, 0.1951219512195122, 0.1836734693877551, 0.18181818181818182, 0.14814814814814814]"
181,"[np.int64(395), np.int64(229), np.int64(26), np.int64(1399), np.int64(1419)]","[0.2631578947368421, 0.25925925925925924, 0.25, 0.23863636363636365, 0.23595505617977527]"
182,"[np.int64(584), np.int64(505), np.int64(899), np.int64(306), np.int64(40)]","[0.2857142857142857, 0.28125, 0.2692307692307692, 0.2647058823529412, 0.24390243902439024]"
183,"[np.int64(908), np.int64(1161), np.int64(1050), np.int64(942), np.int64(1112)]","[0.5555555555555556, 0.45454545454545453, 0.4166666666666667, 0.35714285714285715, 0.3333333333333333]"
184,"[np.int64(402), np.int64(724), np.int64(1022), np.int64(47), np.int64(669)]","[0.5925925925925926, 0.5806451612903226, 0.5714285714285714, 0.5454545454545454, 0.5294117647058824]"
185,"[np.int64(720), np.int64(192), np.int64(305), np.int64(340), np.int64(455)]","[0.5, 0.45454545454545453, 0.45454545454545453, 0.4444444444444444, 0.4166666666666667]"
186,"[np.int64(1012), np.int64(581), np.int64(815), np.int64(549), np.int64(973)]","[0.25, 0.22641509433962265, 0.1875, 0.18309859154929578, 0.18]"
187,"[np.int64(794), np.int64(278), np.int64(1035), np.int64(1171), np.int64(309)]","[0.391304347826087, 0.3870967741935484, 0.37209302325581395, 0.36363636363636365, 0.35714285714285715]"
188,"[np.int64(509), np.int64(244), np.int64(689), np.int64(916), np.int64(946)]","[0.9545454545454546, 0.56, 0.4827586206896552, 0.48148148148148145, 0.4642857142857143]"
189,"[np.int64(914), np.int64(970), np.int64(448), np.int64(1163), np.int64(713)]","[0.7045454545454546, 0.35714285714285715, 0.35294117647058826, 0.3508771929824561, 0.3275862068965517]"
190,"[np.int64(893), np.int64(1280), np.int64(254), np.int64(241), np.int64(891)]","[0.6666666666666666, 0.5849056603773585, 0.49206349206349204, 0.4772727272727273, 0.43478260869565216]"
191,"[np.int64(936), np.int64(456), np.int64(17), np.int64(37), np.int64(399)]","[0.5882352941176471, 0.5384615384615384, 0.5151515151515151, 0.5128205128205128, 0.5]"
192,"[np.int64(305), np.int64(185), np.int64(720), np.int64(340), np.int64(791)]","[1.0, 0.45454545454545453, 0.4, 0.36363636363636365, 0.2903225806451613]"
193,"[np.int64(624), np.int64(293), np.int64(932), np.int64(897), np.int64(905)]","[0.5641025641025641, 0.4878048780487805, 0.4772727272727273, 0.42857142857142855, 0.36363636363636365]"
194,"[np.int64(1285), np.int64(314), np.int64(720), np.int64(279), np.int64(373)]","[0.45454545454545453, 0.45454545454545453, 0.375, 0.3333333333333333, 0.3333333333333333]"
195,"[np.int64(262), np.int64(406), np.int64(289), np.int64(350), np.int64(230)]","[0.6153846153846154, 0.5, 0.4444444444444444, 0.4444444444444444, 0.4117647058823529]"
196,"[np.int64(90), np.int64(1125), np.int64(880), np.int64(410), np.int64(922)]","[0.2786885245901639, 0.25, 0.22641509433962265, 0.22413793103448276, 0.21666666666666667]"
197,"[np.int64(1215), np.int64(938), np.int64(302), np.int64(412), np.int64(118)]","[0.47058823529411764, 0.40625, 0.3939393939393939, 0.3939393939393939, 0.3877551020408163]"
198,"[np.int64(281), np.int64(442), np.int64(239), np.int64(426), np.int64(180)]","[0.8, 0.7142857142857143, 0.6956521739130435, 0.603448275862069, 0.1836734693877551]"
199,"[np.int64(476), np.int64(1060), np.int64(728), np.int64(720), np.int64(194)]","[0.45454545454545453, 0.29411764705882354, 0.2857142857142857, 0.2222222222222222, 0.2]"
200,"[np.int64(953), np.int64(248), np.int64(999), np.int64(350), np.int64(406)]","[0.875, 0.5, 0.4666666666666667, 0.4117647058823529, 0.375]"
201,"[np.int64(827), np.int64(530), np.int64(1070), np.int64(1025), np.int64(968)]","[0.64, 0.6363636363636364, 0.30612244897959184, 0.3018867924528302, 0.29545454545454547]"
202,"[np.int64(35), np.int64(772), np.int64(992), np.int64(943), np.int64(394)]","[0.65, 0.5416666666666666, 0.52, 0.48148148148148145, 0.4482758620689655]"
203,"[np.int64(154), np.int64(1019), np.int64(437), np.int64(1031), np.int64(542)]","[0.6086956521739131, 0.48484848484848486, 0.4827586206896552, 0.40625, 0.3793103448275862]"
204,"[np.int64(123), np.int64(296), np.int64(107), np.int64(401), np.int64(966)]","[0.16666666666666666, 0.16666666666666666, 0.16216216216216217, 0.16216216216216217, 0.15789473684210525]"
205,"[np.int64(443), np.int64(28), np.int64(478), np.int64(21), np.int64(1029)]","[0.4444444444444444, 0.42857142857142855, 0.4090909090909091, 0.4090909090909091, 0.391304347826087]"
206,"[np.int64(979), np.int64(873), np.int64(1060), np.int64(164), np.int64(199)]","[0.125, 0.1111111111111111, 0.10526315789473684, 0.10526315789473684, 0.1]"
207,"[np.int64(267), np.int64(890), np.int64(60), np.int64(1062), np.int64(897)]","[0.4117647058823529, 0.39473684210526316, 0.34210526315789475, 0.3333333333333333, 0.32558139534883723]"
208,"[np.int64(290), np.int64(446), np.int64(1263), np.int64(44), np.int64(949)]","[0.5909090909090909, 0.5416666666666666, 0.5416666666666666, 0.5, 0.4642857142857143]"
209,"[np.int64(764), np.int64(989), np.int64(1274), np.int64(1222), np.int64(263)]","[0.9642857142857143, 0.35135135135135137, 0.25, 0.19298245614035087, 0.1875]"
210,"[np.int64(861), np.int64(953), np.int64(947), np.int64(536), np.int64(999)]","[0.14285714285714285, 0.125, 0.09090909090909091, 0.07142857142857142, 0.06666666666666667]"
211,"[np.int64(116), np.int64(864), np.int64(535), np.int64(807), np.int64(155)]","[0.2982456140350877, 0.29310344827586204, 0.27586206896551724, 0.2711864406779661, 0.2631578947368421]"
212,"[np.int64(596), np.int64(126), np.int64(798), np.int64(9), np.int64(539)]","[0.9791666666666666, 0.27631578947368424, 0.2727272727272727, 0.265625, 0.26153846153846155]"
213,"[np.int64(873), np.int64(1132), np.int64(294), np.int64(498), np.int64(666)]","[0.2, 0.0625, 0.034482758620689655, 0.022222222222222223, 0.021739130434782608]"
214,"[np.int64(621), np.int64(398), np.int64(462), np.int64(322), np.int64(973)]","[0.46153846153846156, 0.42105263157894735, 0.4, 0.39473684210526316, 0.3888888888888889]"
215,"[np.int64(202), np.int64(478), np.int64(772), np.int64(992), np.int64(715)]","[0.3023255813953488, 0.29545454545454547, 0.2826086956521739, 0.2765957446808511, 0.25]"
216,"[np.int64(349), np.int64(423), np.int64(635), np.int64(454), np.int64(708)]","[0.453125, 0.4461538461538462, 0.32, 0.27586206896551724, 0.25]"
217,"[np.int64(341), np.int64(266), np.int64(390), np.int64(443), np.int64(743)]","[0.2727272727272727, 0.2553191489361702, 0.24444444444444444, 0.23529411764705882, 0.22727272727272727]"
218,"[np.int64(272), np.int64(636), np.int64(1227), np.int64(396), np.int64(253)]","[0.4727272727272727, 0.43333333333333335, 0.40384615384615385, 0.3898305084745763, 0.3]"
219,"[np.int64(179), np.int64(102), np.int64(384), np.int64(892), np.int64(748)]","[0.52, 0.35714285714285715, 0.34065934065934067, 0.3114754098360656, 0.2878787878787879]"
220,"[np.int64(936), np.int64(179), np.int64(37), np.int64(923), np.int64(232)]","[0.2830188679245283, 0.26666666666666666, 0.25862068965517243, 0.234375, 0.23333333333333334]"
221,"[np.int64(410), np.int64(464), np.int64(242), np.int64(322), np.int64(280)]","[0.6808510638297872, 0.58, 0.5686274509803921, 0.3469387755102041, 0.3333333333333333]"
222,"[np.int64(269), np.int64(333), np.int64(8), np.int64(921), np.int64(227)]","[0.29411764705882354, 0.25, 0.25, 0.23404255319148937, 0.21621621621621623]"
223,"[np.int64(637), np.int64(348), np.int64(1290), np.int64(420), np.int64(1017)]","[0.6363636363636364, 0.6222222222222222, 0.6, 0.47058823529411764, 0.46153846153846156]"
224,"[np.int64(163), np.int64(50), np.int64(1053), np.int64(668), np.int64(577)]","[0.9791666666666666, 0.45161290322580644, 0.3442622950819672, 0.3392857142857143, 0.3194444444444444]"
225,"[np.int64(1200), np.int64(430), np.int64(608), np.int64(222), np.int64(366)]","[0.2391304347826087, 0.22580645161290322, 0.21052631578947367, 0.19444444444444445, 0.1891891891891892]"
226,"[np.int64(1235), np.int64(1138), np.int64(1354), np.int64(836), np.int64(1415)]","[0.7727272727272727, 0.24242424242424243, 0.22727272727272727, 0.22123893805309736, 0.21153846153846154]"
227,"[np.int64(678), np.int64(889), np.int64(916), np.int64(946), np.int64(898)]","[0.9545454545454546, 0.30357142857142855, 0.2903225806451613, 0.28125, 0.2777777777777778]"
228,"[np.int64(430), np.int64(269), np.int64(434), np.int64(17), np.int64(8)]","[0.23333333333333334, 0.22580645161290322, 0.2, 0.1891891891891892, 0.1891891891891892]"
229,"[np.int64(1405), np.int64(1059), np.int64(1399), np.int64(1419), np.int64(484)]","[0.30985915492957744, 0.3026315789473684, 0.2875, 0.2839506172839506, 0.273972602739726]"
230,"[np.int64(1277), np.int64(756), np.int64(195), np.int64(262), np.int64(801)]","[0.47619047619047616, 0.4411764705882353, 0.4117647058823529, 0.35, 0.3409090909090909]"
231,"[np.int64(1070), np.int64(1036), np.int64(951), np.int64(589), np.int64(949)]","[0.45652173913043476, 0.3389830508474576, 0.3191489361702128, 0.288135593220339, 0.2857142857142857]"
232,"[np.int64(1193), np.int64(1190), np.int64(779), np.int64(283), np.int64(1309)]","[0.6363636363636364, 0.6363636363636364, 0.5531914893617021, 0.5416666666666666, 0.5416666666666666]"
233,"[np.int64(316), np.int64(363), np.int64(172), np.int64(412), np.int64(414)]","[0.325, 0.3111111111111111, 0.29545454545454547, 0.27906976744186046, 0.2653061224489796]"
234,"[np.int64(535), np.int64(116), np.int64(807), np.int64(864), np.int64(742)]","[0.3170731707317073, 0.3170731707317073, 0.30952380952380953, 0.30952380952380953, 0.30434782608695654]"
235,"[np.int64(167), np.int64(460), np.int64(587), np.int64(664), np.int64(514)]","[0.9615384615384616, 0.7272727272727273, 0.5365853658536586, 0.5217391304347826, 0.5]"
236,"[np.int64(1071), np.int64(745), np.int64(598), np.int64(1249), np.int64(1408)]","[0.84, 0.8235294117647058, 0.7647058823529411, 0.7547169811320755, 0.6774193548387096]"
237,"[np.int64(1200), np.int64(1291), np.int64(560), np.int64(1173), np.int64(1190)]","[0.5370370370370371, 0.3333333333333333, 0.24324324324324326, 0.23376623376623376, 0.22727272727272727]"
238,"[np.int64(374), np.int64(586), np.int64(543), np.int64(1192), np.int64(332)]","[0.7428571428571429, 0.4318181818181818, 0.3829787234042553, 0.3404255319148936, 0.32558139534883723]"
239,"[np.int64(281), np.int64(198), np.int64(442), np.int64(426), np.int64(738)]","[0.8, 0.6956521739130435, 0.68, 0.576271186440678, 0.1956521739130435]"
240,"[np.int64(1039), np.int64(586), np.int64(1016), np.int64(785), np.int64(958)]","[0.2545454545454545, 0.25, 0.24074074074074073, 0.23214285714285715, 0.22807017543859648]"
241,"[np.int64(891), np.int64(926), np.int64(190), np.int64(893), np.int64(987)]","[0.8, 0.7435897435897436, 0.4772727272727273, 0.47619047619047616, 0.4523809523809524]"
242,"[np.int64(464), np.int64(410), np.int64(221), np.int64(845), np.int64(533)]","[0.66, 0.66, 0.5686274509803921, 0.23809523809523808, 0.2328767123287671]"
243,"[np.int64(276), np.int64(480), np.int64(710), np.int64(364), np.int64(718)]","[0.6666666666666666, 0.6428571428571429, 0.5409836065573771, 0.5370370370370371, 0.532258064516129]"
244,"[np.int64(188), np.int64(509), np.int64(443), np.int64(402), np.int64(1022)]","[0.56, 0.5384615384615384, 0.4090909090909091, 0.4074074074074074, 0.39285714285714285]"
245,"[np.int64(653), np.int64(547), np.int64(480), np.int64(364), np.int64(243)]","[0.5714285714285714, 0.5384615384615384, 0.5185185185185185, 0.46, 0.40350877192982454]"
246,"[np.int64(592), np.int64(618), np.int64(839), np.int64(785), np.int64(958)]","[0.7446808510638298, 0.5434782608695652, 0.43103448275862066, 0.3877551020408163, 0.38]"
247,"[np.int64(773), np.int64(1076), np.int64(1298), np.int64(345), np.int64(643)]","[0.8588235294117647, 0.8313253012048193, 0.8295454545454546, 0.8072289156626506, 0.7840909090909091]"
248,"[np.int64(999), np.int64(200), np.int64(953), np.int64(704), np.int64(350)]","[0.9333333333333333, 0.5, 0.4666666666666667, 0.30434782608695654, 0.2916666666666667]"
249,"[np.int64(395), np.int64(181), np.int64(1360), np.int64(26), np.int64(564)]","[0.2463768115942029, 0.20987654320987653, 0.2087912087912088, 0.2, 0.19718309859154928]"
250,"[np.int64(297), np.int64(983), np.int64(1292), np.int64(970), np.int64(153)]","[0.4883720930232558, 0.3617021276595745, 0.2807017543859649, 0.27586206896551724, 0.27586206896551724]"
251,"[np.int64(200), np.int64(953), np.int64(575), np.int64(911), np.int64(359)]","[0.36363636363636365, 0.3333333333333333, 0.3333333333333333, 0.2857142857142857, 0.2857142857142857]"
252,"[np.int64(22), np.int64(1200), np.int64(1291), np.int64(1069), np.int64(585)]","[0.21621621621621623, 0.20754716981132076, 0.18181818181818182, 0.18181818181818182, 0.18]"
253,"[np.int64(634), np.int64(892), np.int64(1031), np.int64(748), np.int64(712)]","[0.5925925925925926, 0.5714285714285714, 0.5, 0.48484848484848486, 0.42857142857142855]"
254,"[np.int64(1280), np.int64(1287), np.int64(190), np.int64(1360), np.int64(893)]","[0.8333333333333334, 0.5769230769230769, 0.49206349206349204, 0.4157303370786517, 0.3582089552238806]"
255,"[np.int64(1063), np.int64(27), np.int64(188), np.int64(689), np.int64(509)]","[0.6486486486486487, 0.47368421052631576, 0.42857142857142855, 0.4166666666666667, 0.4166666666666667]"
256,"[np.int64(648), np.int64(724), np.int64(1240), np.int64(1094), np.int64(80)]","[0.9642857142857143, 0.6060606060606061, 0.5, 0.4857142857142857, 0.4444444444444444]"
